# r	p	err_p
2.578705217583084686e+00 1.314144267081336637e-01 0.000000000000000000e+00
3.628858666053141668e+00 1.891068367929918115e-01 0.000000000000000000e+00
4.455598733336053385e+00 2.249515703896598773e-01 0.000000000000000000e+00
5.114976107720653253e+00 2.518076586362310021e-01 0.000000000000000000e+00
5.752612607079046647e+00 2.901168640198126814e-01 0.000000000000000000e+00
6.189584188447468271e+00 2.233998337489609409e-01 0.000000000000000000e+00
6.831811429011188430e+00 3.250212404418011958e-01 0.000000000000000000e+00
7.630443224990112405e+00 3.360456920142632087e-01 0.000000000000000000e+00
8.081293797074007301e+00 3.573392067475968381e-01 0.000000000000000000e+00
8.387040069987733659e+00 2.772496558843771663e-01 0.000000000000000000e+00
8.704242489723638343e+00 3.349803054384631329e-01 0.000000000000000000e+00
9.221512473352992956e+00 3.617942875555248405e-01 0.000000000000000000e+00
9.938982959185826971e+00 3.616340926219971941e-01 0.000000000000000000e+00
1.095454576304875616e+01 3.273539992675728594e-01 0.000000000000000000e+00
1.171027868224799384e+01 3.690140093039398494e-01 0.000000000000000000e+00
1.221913879634638533e+01 3.356550956075278203e-01 0.000000000000000000e+00
1.262805481057105794e+01 2.625532631360816271e-01 0.000000000000000000e+00
1.330900916655367361e+01 3.225160062294514796e-01 0.000000000000000000e+00
1.415324469260607998e+01 3.567998506015953586e-01 0.000000000000000000e+00
1.475773251303419364e+01 2.858422028602636833e-01 0.000000000000000000e+00
1.565754275966122577e+01 3.249725572638427762e-01 0.000000000000000000e+00
1.654819899173516262e+01 3.146701179288563521e-01 0.000000000000000000e+00
1.699533431855942922e+01 3.182699007141612801e-01 0.000000000000000000e+00
1.737500948421064706e+01 3.251317980739724112e-01 0.000000000000000000e+00
1.785927606057386541e+01 3.350438785159188804e-01 0.000000000000000000e+00
1.856416263951870604e+01 3.251226676504117563e-01 0.000000000000000000e+00
1.922973401021067374e+01 3.431391459797947796e-01 0.000000000000000000e+00
1.969964737028118051e+01 3.417123994223230654e-01 0.000000000000000000e+00
2.015702018159138476e+01 3.440339829307902386e-01 0.000000000000000000e+00
2.077007479588548478e+01 3.336201240866245032e-01 0.000000000000000000e+00
2.149044736785108611e+01 3.500088596447150091e-01 0.000000000000000000e+00
2.209238804677222845e+01 3.456857906051359897e-01 0.000000000000000000e+00
2.284403366694899162e+01 3.302636098037642354e-01 0.000000000000000000e+00
2.349565107464577807e+01 3.488967580511282973e-01 0.000000000000000000e+00
2.397276562539021683e+01 3.463666317142619078e-01 0.000000000000000000e+00
2.443410561473194065e+01 3.377265778043751498e-01 0.000000000000000000e+00
2.507025615532017326e+01 3.269513168329298836e-01 0.000000000000000000e+00
2.599979295562821235e+01 3.415058254691356043e-01 0.000000000000000000e+00
2.714938069038666058e+01 3.313843237099618477e-01 0.000000000000000000e+00
2.830867706937865336e+01 3.361749603078111326e-01 0.000000000000000000e+00
2.943312482459719348e+01 3.387786133552958545e-01 0.000000000000000000e+00
3.009952224379460617e+01 3.421021478766450574e-01 0.000000000000000000e+00
3.059248182618356893e+01 3.360556678059557489e-01 0.000000000000000000e+00
3.120378432824070103e+01 3.420698203984107733e-01 0.000000000000000000e+00
3.170588474138398638e+01 3.464447560856873110e-01 0.000000000000000000e+00
3.228167478600904161e+01 3.393353336283752575e-01 0.000000000000000000e+00
3.296777675056659263e+01 3.412390407932203718e-01 0.000000000000000000e+00
3.380140451761046450e+01 3.434675072877154678e-01 0.000000000000000000e+00
3.500483019676929075e+01 3.397894446883419906e-01 0.000000000000000000e+00
3.616824674547258667e+01 3.401969751879375115e-01 0.000000000000000000e+00
3.714428919879357238e+01 3.390218170047767376e-01 0.000000000000000000e+00
3.789938078338823857e+01 3.364282232169848452e-01 0.000000000000000000e+00
3.860629019078158564e+01 3.418422716203817213e-01 0.000000000000000000e+00
