# r	p	err_p
2.550798926697998237e+00 3.277626635574556468e-01 1.245789442654693250e-03
3.597223558660084475e+00 3.258076262810175039e-01 1.766990429111623588e-03
4.380307166111196082e+00 3.322633680419634916e-01 8.819655372467070454e-04
5.042535623898215746e+00 3.292896546314936224e-01 1.250414709394141559e-03
5.646665993887238777e+00 3.293952401580488298e-01 8.859767833056519113e-04
6.180033889266080216e+00 3.260720756996174918e-01 1.554370217501257036e-03
6.685848834787267769e+00 3.322887884796671409e-01 6.225415694138387813e-04
7.137250713492398368e+00 3.316203527471133228e-01 1.945445946187954666e-03
7.570806850682849642e+00 3.293526623059315761e-01 7.159998423915994422e-04
7.989117030298211297e+00 3.290630871021319459e-01 9.024187311406099612e-04
8.374181812512055956e+00 3.303518657157492600e-01 8.857723438124359347e-04
8.719031668950858460e+00 3.327212633125229413e-01 9.548518954469612050e-04
9.099067889943938781e+00 3.284240653509033492e-01 5.049140907041807904e-04
9.803439218751098139e+00 3.289412879909947018e-01 5.953470636947113745e-04
1.039326088745881016e+01 3.295781984218459360e-01 5.755761479765842802e-04
1.097830103069143703e+01 3.304509616819089057e-01 4.100360968679677104e-04
1.158217820352388472e+01 3.296496636227922439e-01 5.382886659555604931e-04
1.207707816277664392e+01 3.276049842261615774e-01 5.534605668811699115e-04
1.262522676634169905e+01 3.299184510560539407e-01 4.400352863677241006e-04
1.323072527512218777e+01 3.304006849067645524e-01 3.284658878017138249e-04
1.405275112679977845e+01 3.275313659657183019e-01 4.427875035725684517e-04
1.465739259230500302e+01 3.294783075804973427e-01 3.153391474433889165e-04
1.534406841530732102e+01 3.305785884709416811e-01 3.315843662856232535e-04
1.579846420739490931e+01 3.288885717108946949e-01 5.730950761316614414e-04
1.641438122169402902e+01 3.304815609643576568e-01 2.863710944469832200e-04
1.692907004326907128e+01 3.294800707467966383e-01 3.856640462101253251e-04
1.731330525286182720e+01 3.295742063770258912e-01 4.364784795181748055e-04
1.769304959757732121e+01 3.287559812752554600e-01 3.597783635305225759e-04
1.822008811065195033e+01 3.294794432800651762e-01 3.243756951887974351e-04
1.869663878511535415e+01 3.287027530471259285e-01 3.312283475608711228e-04
1.920380620680995420e+01 3.295644270711652335e-01 2.918376635913885221e-04
1.966983250250712345e+01 3.280673114150803871e-01 3.456930554798462473e-04
2.006058387338504545e+01 3.291323373593986745e-01 3.454742909889840135e-04
2.077248260379743883e+01 3.297640000374935099e-01 2.076021156754790785e-04
2.154250567158058161e+01 3.295927020640709859e-01 2.651739650936711071e-04
2.201435565851555864e+01 3.306826978667529171e-01 2.704517339501302212e-04
2.277135154793577954e+01 3.301411042056007217e-01 2.080387129272379858e-04
2.327524746046936954e+01 3.301088068756882765e-01 3.331137222907758081e-04
2.356685929901211551e+01 3.298730777233435107e-01 3.362312258279537627e-04
2.411907740933020960e+01 3.307758447870857710e-01 1.994173849387296735e-04
2.498424489109947899e+01 3.298730520326034199e-01 1.906972683082160114e-04
2.566330082068526153e+01 3.311206148116639936e-01 2.041794766332540761e-04
2.623419618697957389e+01 3.305295609979507221e-01 2.516313740486227405e-04
2.662464351046508426e+01 3.308042837583009543e-01 3.249948297971500997e-04
2.701863923577623794e+01 3.301167052160151605e-01 2.187559294767236714e-04
2.740417041723910785e+01 3.309906416052821876e-01 2.447118419693851583e-04
2.800645434748977181e+01 3.306755551838822527e-01 1.836902678533304967e-04
2.848059037478648392e+01 3.326672683859142055e-01 3.219119871392172932e-04
2.907552232926551739e+01 3.316714939536324902e-01 1.567809382236452862e-04
2.972910233319532125e+01 3.320253042869884541e-01 1.995190184585807994e-04
3.047845503532639455e+01 3.313575913928106242e-01 1.557999647233129575e-04
3.117324670702874556e+01 3.316101496245489888e-01 1.898533433400892965e-04
3.165483998584230108e+01 3.314096292219572137e-01 1.949574351728230396e-04
3.220641150144922449e+01 3.315552075296936962e-01 1.812538769953714053e-04
3.289258265098957423e+01 3.321076832642937959e-01 1.512528309454618197e-04
3.352822765592029697e+01 3.324355161720468632e-01 1.815612488247560522e-04
3.398028865454215008e+01 3.315735619741989604e-01 1.981326927829131284e-04
3.453815778472332454e+01 3.321100849545793321e-01 1.565579047973175123e-04
3.516294392293291082e+01 3.322061165273391126e-01 1.719456542115535092e-04
3.580508961141814694e+01 3.320162894510141904e-01 1.366732248364675023e-04
3.635623262099837660e+01 3.323032539174489708e-01 2.161184366037348348e-04
3.679489107731820496e+01 3.319825148715883634e-01 1.715540312708207897e-04
3.723933676341563626e+01 3.327903939739446093e-01 1.845282785677165751e-04
3.772766300911978021e+01 3.322638542475910284e-01 1.593442416892684363e-04
3.818141951079776675e+01 3.320945199558138494e-01 1.692242853034128846e-04
3.871456308570775207e+01 3.323484666540926780e-01 1.600307559168352007e-04
3.941809079229431489e+01 3.323121418242193648e-01 1.218594383712099646e-04
